caseid,window_index,window_start_s,window_end_s,anomaly_rank,anomaly_score,iforest_decision_function,anomaly_label
9,7,2100.0,2400.0,34,-0.063611,0.063611,0
2,9,2700.0,3000.0,35,-0.064061,0.064061,0
9,3,900.0,1200.0,36,-0.064244,0.064244,0
8,14,4200.0,4500.0,37,-0.064865,0.064865,0
4,6,1800.0,2100.0,38,-0.065676,0.065676,0
4,7,2100.0,2400.0,39,-0.066946,0.066946,0
4,59,17700.0,18000.0,40,-0.067966,0.067966,0
4,15,4500.0,4800.0,41,-0.076234,0.076234,0
2,8,2400.0,2700.0,42,-0.081116,0.081116,0
9,6,1800.0,2100.0,43,-0.083749,0.083749,0
2,14,4200.0,4500.0,44,-0.086143,0.086143,0
4,33,9900.0,10200.0,45,-0.093026,0.093026,0
4,40,12000.0,12300.0,46,-0.097914,0.097914,0
4,16,4800.0,5100.0,47,-0.09899,0.09899,0
4,13,3900.0,4200.0,48,-0.099207,0.099207,0
4,17,5100.0,5400.0,49,-0.101265,0.101265,0
2,46,13800.0,14100.0,50,-0.101958,0.101958,0
2,12,3600.0,3900.0,51,-0.106534,0.106534,0
2,48,14400.0,14700.0,52,-0.107736,0.107736,0
4,8,2400.0,2700.0,53,-0.110972,0.110972,0
4,51,15300.0,15600.0,54,-0.11162,0.11162,0
4,37,11100.0,11400.0,55,-0.112836,0.112836,0
4,11,3300.0,3600.0,56,-0.118514,0.118514,0
4,28,8400.0,8700.0,57,-0.119667,0.119667,0
2,13,3900.0,4200.0,58,-0.121833,0.121833,0
2,10,3000.0,3300.0,59,-0.125365,0.125365,0
4,32,9600.0,9900.0,60,-0.125926,0.125926,0
4,12,3600.0,3900.0,61,-0.127977,0.127977,0
9,5,1500.0,1800.0,62,-0.128382,0.128382,0
2,6,1800.0,2100.0,63,-0.129099,0.129099,0
2,15,4500.0,4800.0,64,-0.12968,0.12968,0
4,41,12300.0,12600.0,65,-0.129808,0.129808,0
4,53,15900.0,16200.0,66,-0.130153,0.130153,0
9,4,1200.0,1500.0,67,-0.131031,0.131031,0
2,7,2100.0,2400.0,68,-0.131811,0.131811,0
4,19,5700.0,6000.0,69,-0.13251,0.13251,0
4,18,5400.0,5700.0,70,-0.134001,0.134001,0
4,35,10500.0,10800.0,71,-0.134527,0.134527,0
4,23,6900.0,7200.0,72,-0.136135,0.136135,0
4,36,10800.0,11100.0,73,-0.136637,0.136637,0
4,21,6300.0,6600.0,74,-0.136663,0.136663,0
4,20,6000.0,6300.0,75,-0.140579,0.140579,0
4,39,11700.0,12000.0,76,-0.140762,0.140762,0
4,24,7200.0,7500.0,77,-0.145769,0.145769,0
4,54,16200.0,16500.0,78,-0.145777,0.145777,0
4,22,6600.0,6900.0,79,-0.145894,0.145894,0
2,16,4800.0,5100.0,80,-0.146513,0.146513,0
4,25,7500.0,7800.0,81,-0.14795,0.14795,0
2,3,900.0,1200.0,82,-0.151196,0.151196,0
2,18,5400.0,5700.0,83,-0.152231,0.152231,0
